West Gas	
Sep 2001 YTD	
By Team	
Originator	Commodity	Team	Revised Total	%Total	Original Total	Variance	
QT5925/VP5179	8/8/2001	PNM - El Paso Transport	West Gas	WC-CAL	Miller	  3,049,863 	
Kern/Socal Trans Demand reduction	7/12/01	Kern Demand reduction	West Gas	GD-NEW	Miller	  500,000 	
V16627	4/4/01	DUKE ENERGY	West Gas	FT-Nwest	Miller	  220,000 	
V4234	8/20/2001	KERN/PRODUCER PAYMENTS	West Gas	WC-CAL	Miller	  200,000 	
822915	7/23/01	Mexicana - Jjune Invoice	West Gas	GD-NEW	Miller	  124,872 	
828934	8/30/2001	Mexicana - July Invoice	West Gas	WC-SANJUAN	Miller	  66,197 	
VT9298	8/3/2001	San Diego Gas & Electric	West Gas	WC-CAL	Miller	  44,620 	
VE4661	6/4/01	Mexicana de Cobre	West Gas	GD-NEW	Miller	  22,000 	
822915	7/30/01	Mexicana - Jjune Invoice	West Gas	GD-NEW	Miller	  (2,781)	
V16627	4/9/01	DUKE ENERGY	West Gas	FT-Nwest	Miller	  (100,000)	
Miller Total	  4,124,771 	
VC2610.1	5/25/01	HS Energy Services	West Gas	FT-Denver	Orro	  - 0 	
Orro Total	  - 0 	
VV1921.1/VV1921.2	8/10/2001	EES	West Gas	W-MGMT	Shetal	  9,202 	
VX1927	8/20/2001	EES	West Gas	WT-ROX	Shetal	  25 	
VX1927	8/20/2001	EES	West Gas	WT-ROX	Shetal	  (25)	
VV1921.1/VV1921.2	8/10/2001	EES	West Gas	W-MGMT	Shetal	  (9,202)	
Shetal Total	  - 0 	
VB6907	5/23/01	ft. James	West Gas	NG-Price	South	  - 0 	
South Total	  - 0 	
Y52509	9/28/01	Kennedy Oil	West Gas	Denver	Staab	  5,675 	
VR8745.1	7/27/01	Dominion E&P	West Gas	FT-Denver	Staab	  3,013 	
Y52717	9/28/01	North Finn	West Gas	Denver	Staab	  2,616 	
Y52611	9/28/01	Citation Oil and Gas	West Gas	Denver	Staab	  2,006 	
Y52703	9/28/01	Wellstar	West Gas	Denver	Staab	  1,581 	
Y52619	9/28/01	Quantum	West Gas	Denver	Staab	  78 	
Staab Total	  14,969 	
29	4/19/01	NWPL	West Gas	GD-NEW	Tycholiz	  25,360,942 	
720617	4/6/01	TransAlta Energy	West Gas	GD-NEW	Tycholiz	  4,164,360 	
EC3952.35	1/23/01	PGE	West Gas	FT-WEST	Tycholiz	  2,003,309 	
V4234	6/26/01	Rockies to Socal Transport (producer annuity)	West Gas	GD-NEW	Tycholiz	  1,831,253 	
Kern/Socal Trans.	7/6/01	West Gas	GD-NEW	Tycholiz	  1,245,865 	
QN6292	1/25/01	FT-CAND-EGSC (CANADA)	West Gas	GD-NEW	Tycholiz	  1,180,000 	
V4234	8/14/2001	KERN/PRODUCER PAYMENTS	West Gas	WC-CAL	Tycholiz	  500,000 	
V4234	8/20/2001	KERN/PRODUCER PAYMENTS	West Gas	WC-CAL	Tycholiz	  325,122 	
QK5339	1/10/01	Mercada Gas Services	West Gas	NG	Tycholiz	  181,913 	
NF1164.7&8	2/8/01	Mercado	West Gas	NG	Tycholiz	  154,000 	
NF1164.C	4/2/01	Mercado Gas	West Gas	MGMT-WEST	Tycholiz	  144,375 	
QV8440.1	3/7/01	Mercado Gas	West Gas	NG	Tycholiz	  119,560 	
V10337.1	4/2/01	Mercado Gas	West Gas	NG-Price	Tycholiz	  107,000 	
QT5176	3/20/01	AEC Marketing	West Gas	GD-NEW	Tycholiz	  75,000 	
VA5249/796406	5/17/01	Transport Sierra Pacific Power Company & Cinergy Marketing & Trading LLC	West Gas	GD-NEW	Tycholiz	  39,040 	
NF1164.D	4/2/01	MERCADO	West Gas	GD-NEWJR	Tycholiz	  33,120 	
NF1164	4/11/01	Mercado	West Gas	FT-West	Tycholiz	  26,700 	
QS3369	2/16/01	ECC	West Gas	FT-West	Tycholiz	  17,700 	
VT8896	8/3/2001	Petro-Canada Hydrocarbons	West Gas	WT-CAL	Tycholiz	  17,382 	
NF1164.F	4/2/01	MERCADO	West Gas	GD-NEWJR	Tycholiz	  8,375 	
NF1164.f	4/2/01	Mercado Gas	West Gas	NG-Price	Tycholiz	  8,000 	
NF1164.E	4/2/01	MERCADO	West Gas	GD-NEWJR	Tycholiz	  5,520 	
NF1164.E	4/2/01	Mercado Gas	West Gas	NG-Price	Tycholiz	  5,500 	
QV8440	3/7/01	Mercado Gas	West Gas	NG	Tycholiz	  - 0 	
6	4/12/01	West Gas	FT-West	Tycholiz	  (21,887)	
30	4/20/01	NWPL	West Gas	GD-NEW	Tycholiz	  (1,500,000)	
Transport Model (84 to 87)	5/16/01	NWPL	West Gas	GD-NEW	Tycholiz	  (14,000,000)	
Tycholiz Total	  22,032,149 	
V70861	5/1/01	Tucson	West Gas	NG-Price	Ward	  287,600 	
835457/VM8665	7/9/01	Citizens Communications (Deamnd Charges (0.09)	West Gas	GD-NEW	Ward	  185,902 	
VA2303	5/16/01	Tucson	West Gas	NG-Price	Ward	  166,850 	
VQ4106	7/23/01	Palo Alto	West Gas	Ng-Price	Ward	  166,731 	
QR1502	2/9/01	Merced	West Gas	NG	Ward	  156,366 	
VE1156	6/1/01	Elpaso	West Gas	Ng-price	Ward	  139,857 	
VH6422?889419	7/11/01	City of Palo Alto	West Gas	GD-NEW	Ward	  136,354 	
V39711	4/17/01	Pala Alto	West Gas	NG-Price	Ward	  86,220 	
VT9214	8/6/2001	Mesa	West Gas	Ng-Price	Ward	  73,064 	
VC7636	9/13/01	Palo Alto	West Gas	NG-Price	Ward	  60,903 	
VH6424	8/14/2001	CITY OF PALO ALTO (UNWINDS)	West Gas	FT-WEST	Ward	  48,606 	
VR1040	7/25/01	Palo Alto	West Gas	Ng-Price	Ward	  42,250 	
VT9214	8/3/2001	Mesa	West Gas	Ng-Price	Ward	  35,830 	
V41871.1	4/19/01	Western New Mexico Natural Gas Co.	West Gas	GD-NEW	Ward	  29,220 	
VB2255	5/22/01	City of Mesa	West Gas	NG-Price	Ward	  28,665 	
VF2203	6/6/01	Pasadena	West Gas	Ng-price	Ward	  26,850 	
QN0191	1/23/01	Pasadena	West Gas	NG	Ward	  23,500 	
581479	1/30/01	Pasadena	West Gas	GD-NEW	Ward	  22,260 	
V80973	5/7/01	PaloAlto	West Gas	NG-Price	Ward	  21,270 	
VH6423	8/15/2001	CITY OF PALO ALTO (UNWINDS)	West Gas	Ng-Price	Ward	  20,000 	
699715	3/28/01	City of Pasadena	West Gas	GD-New	Ward	  18,723 	
V39711	4/17/01	Pala Alto	West Gas	NG-Price	Ward	  18,255 	
QT5520	2/23/01	City of Pasadena	West Gas	FT-WEST	Ward	  18,250 	
QN0119	1/23/01	Pasadena	West Gas	NG	Ward	  16,830 	
VB6769	5/23/01	AES	West Gas	NG-Price	Ward	  16,680 	
947739	7/26/01	Smurfit	West Gas	GD-NEW	Ward	  16,275 	
QR0453	4/11/01	City of Pasadena	West Gas	FT-West	Ward	  14,600 	
QR0453	2/8/01	Pasadena	West Gas	FT-WEST	Ward	  14,152 	
VN4932	7/11/01	AES	West Gas	Ng-Price	Ward	  12,000 	
VA7344	5/18/01	AES	West Gas	NG-Price	Ward	  11,996 	
QT5822	2/23/01	Smurfit	West Gas	GD-NEW	Ward	  11,625 	
V41871.1	4/19/01	Smurfit Capacity	West Gas	GD-NEW	Ward	  11,625 	
VG6036.1	6/12/01	Smurfit	West Gas	GD-NEW	Ward	  11,625 	
QS4578	3/21/01	Citizens	West Gas	GD-NEWJR	Ward	  11,500 	
QW8457	3/29/01	Pasadena	West Gas	NG	Ward	  11,500 	
VA2311.F	9/19/01	Palo Alto	West Gas	ng-price	Ward	  11,435 	
